0,83.94,105.14,105.924,99.148,83.44,98.032,83.552,97.116,84.8,86.184,98.904,93.272,97.372,101.38,103.576,101.568,83.38,83.364,84.884,89.912,105.2,97.892,97.308,90.888,86.772,89.056,86.272,93.848,85.472,99.048,96.736
83.94,0,89.488,100.776,86.504,96.94,96.868,104.3,87.512,104.82,102.344,88.116,100.848,87.048,91.144,87.292,91.296,106.108,95.172,95.948,95.368,106.268,93.436,99.408,97.512,89.972,96.184,85.544,93.292,92.736,85.736,101.12
105.14,89.488,0,105.836,97.104,105.1,83.204,83.34,95.36,96.036,97.228,90.324,99.084,84.764,102.664,98.36,85.24,102.332,86.852,89.24,85.372,104.56,85.832,87.216,86.584,85.28,105.488,103.524,106.576,96.668,100.272,83.212
105.924,100.776,105.836,0,83.564,96.252,89.732,89.672,98.144,87.164,99.044,93.796,84.484,85.9,100.068,105.98,98.364,93.992,104.68,89.864,105.616,101.412,87.576,87.504,101.976,88.596,95.496,100.04,86.568,100.228,85.232,85.572
99.148,86.504,97.104,83.564,0,106.408,87.828,96.988,93.948,94.36,91.236,95.22,84.112,101.332,87.656,91.172,86.0,106.88,83.544,106.264,95.652,96.0,85.788,91.98,89.704,88.56,103.072,88.724,91.876,98.948,103.652,94.576
83.44,96.94,105.1,96.252,106.408,0,100.8,101.472,106.516,104.776,85.852,95.468,96.424,83.58,95.804,90.86,95.172,105.052,91.748,85.512,86.06,86.696,90.536,92.216,96.048,103.228,90.088,86.1,99.36,103.968,100.448,83.928
98.032,96.868,83.204,89.732,87.828,100.8,0,89.792,83.588,88.328,105.148,93.992,104.548,105.764,92.984,84.372,102.004,101.12,87.168,88.8,88.452,92.164,95.144,106.348,94.208,83.248,89.996,105.588,88.072,104.04,100.876,104.892
83.552,104.3,83.34,89.672,96.988,101.472,89.792,0,85.344,96.24,93.024,86.608,100.72,100.1,101.616,88.112,102.148,97.076,95.428,103.04,90.724,90.94,98.292,87.312,95.784,93.176,84.088,93.46,86.924,103.992,98.544,86.044
97.116,87.512,95.36,98.144,93.948,106.516,83.588,85.344,0,99.62,84.948,97.42,102.84,95.032,100.412,106.072,84.496,105.624,103.872,96.224,95.364,100.2,83.172,97.128,87.168,85.172,84.02,105.28,98.948,91.96,97.936,89.148
84.8,104.82,96.036,87.164,94.36,104.776,88.328,96.24,99.62,0,95.832,96.628,84.328,85.448,83.62,89.516,104.816,104.0,95.536,103.604,93.452,100.676,99.552,100.456,89.168,83.44,99.888,93.536,98.36,93.348,87.44,89.18
86.184,102.344,97.228,99.044,91.236,85.852,105.148,93.024,84.948,95.832,0,88.428,89.296,100.092,91.812,91.8,89.516,89.56,105.2,93.708,94.292,96.036,87.424,101.192,85.528,102.412,84.436,101.5,92.404,83.924,103.568,90.296
98.904,88.116,90.324,93.796,95.22,95.468,93.992,86.608,97.42,96.628,88.428,0,89.836,84.48,101.152,99.648,103.128,102.648,103.012,87.24,94.572,93.24,82.012,100.56,96.812,87.748,89.548,85.832,100.92,97.236,91.744,103.728
93.272,100.848,99.084,84.484,84.112,96.424,104.548,100.72,102.84,84.328,89.296,89.836,0,96.86,85.044,101.932,101.528,86.236,87.88,93.96,104.072,99.812,88.996,106.416,93.196,95.36,102.596,82.172,89.72,94.552,95.484,95.66
97.372,87.048,84.764,85.9,101.332,83.58,105.764,100.1,95.032,85.448,100.092,84.48,96.86,0,93.536,95.02,83.068,86.78,106.288,102.124,104.604,93.532,84.192,84.676,103.44,87.204,100.852,89.364,90.78,95.84,106.216,85.592
101.38,91.144,102.664,100.068,87.656,95.804,92.984,101.616,100.412,83.62,91.812,101.152,85.044,93.536,0,90.992,87.02,96.424,96.112,105.38,104.232,85.748,105.152,92.076,84.996,83.768,100.816,90.812,85.792,102.368,102.16,92.276
